Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S007,Adeje,2,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S007,Adeje,9,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S008,Adeje,1,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S008,Adeje,5,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S009,Adeje,4,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S009,Adeje,7,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S010,Adeje,4,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S010,Adeje,5,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S011,Adeje,11,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S011,Adeje,28,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S012,Adeje,5,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S012,Adeje,13,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S013,Adeje,2,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S013,Adeje,4,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S014,Adeje,1,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S014,Adeje,6,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S015,Adeje,3,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S015,Adeje,6,2023,Santa Cruz de Tenerife,Mujeres
