año,distrito,MEDIDAS_CODE,MEDIDAS#es,municipio,OBS_VALUE,seccion,TERRITORIO_CODE
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Fasnia,"4,1",001,20220101_38012_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Fasnia,"4,9",002,20220101_38012_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Firgas,"5,4",002,20220101_35008_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Firgas,"5,7",001,20220101_35008_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Frontera,"3,9",002,20220101_38013_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Frontera,"4,3",001,20220101_38013_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Fuencaliente de La Palma,"3,9",002,20220101_38014_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Fuencaliente de La Palma,"4,3",001,20220101_38014_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"10,3",003,20220101_35009_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"12,4",011,20220101_35009_D01_S011
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"12,5",017,20220101_35009_D01_S017
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"5,2",002,20220101_35009_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"5,5",013,20220101_35009_D01_S013
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"5,9",004,20220101_35009_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"6,9",010,20220101_35009_D01_S010
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"7,2",006,20220101_35009_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"7,3",007,20220101_35009_D01_S007
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"7,3",009,20220101_35009_D01_S009
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"7,4",008,20220101_35009_D01_S008
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"7,6",001,20220101_35009_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"7,7",015,20220101_35009_D01_S015
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"8,3",005,20220101_35009_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"9,1",014,20220101_35009_D01_S014
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Gáldar,"9,6",016,20220101_35009_D01_S016
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Garachico,"3,6",002,20220101_38015_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Garachico,"4,1",001,20220101_38015_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Garafía,"4,3",001,20220101_38016_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"2,1",014,20220101_38017_D01_S014
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"2,2",018,20220101_38017_D01_S018
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,3,010,20220101_38017_D01_S010
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"3,4",012,20220101_38017_D01_S012
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"3,5",002,20220101_38017_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"3,6",017,20220101_38017_D01_S017
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"3,6",026,20220101_38017_D01_S026
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"3,7",004,20220101_38017_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"3,8",020,20220101_38017_D01_S020
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,4,007,20220101_38017_D01_S007
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,4,016,20220101_38017_D01_S016
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,4,021,20220101_38017_D01_S021
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"4,1",003,20220101_38017_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"4,1",013,20220101_38017_D01_S013
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"4,2",023,20220101_38017_D01_S023
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"4,3",009,20220101_38017_D01_S009
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"4,3",019,20220101_38017_D01_S019
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"4,4",006,20220101_38017_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"4,4",022,20220101_38017_D01_S022
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"4,6",008,20220101_38017_D01_S008
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"4,7",001,20220101_38017_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"5,1",011,20220101_38017_D01_S011
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"5,1",024,20220101_38017_D01_S024
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"5,1",025,20220101_38017_D01_S025
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"5,2",005,20220101_38017_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Granadilla de Abona,"5,2",015,20220101_38017_D01_S015
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Guía de Isora,"3,2",003,20220101_38019_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Guía de Isora,"3,5",008,20220101_38019_D01_S008
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Guía de Isora,"3,7",004,20220101_38019_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Guía de Isora,"3,8",010,20220101_38019_D01_S010
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Guía de Isora,"3,9",005,20220101_38019_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Guía de Isora,"3,9",007,20220101_38019_D01_S007
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Guía de Isora,"4,2",001,20220101_38019_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Guía de Isora,"4,4",009,20220101_38019_D01_S009
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Guía de Isora,"4,5",011,20220101_38019_D01_S011
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Guía de Isora,"5,2",002,20220101_38019_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"3,4",002,20220101_38020_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"3,6",004,20220101_38020_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"3,6",010,20220101_38020_D01_S010
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"3,7",007,20220101_38020_D01_S007
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"3,7",012,20220101_38020_D01_S012
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"3,9",001,20220101_38020_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"4,1",003,20220101_38020_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"4,5",008,20220101_38020_D01_S008
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"5,5",005,20220101_38020_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"5,8",006,20220101_38020_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,6,011,20220101_38020_D01_S011
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Güímar,"7,1",009,20220101_38020_D01_S009
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Haría,"3,2",001,20220101_35010_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Haría,"3,6",003,20220101_35010_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Haría,"4,2",004,20220101_35010_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Haría,"4,7",002,20220101_35010_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Hermigua,"4,9",001,20220101_38021_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Icod de los Vinos,"3,6",005,20220101_38022_D01_S005
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Icod de los Vinos,"4,2",002,20220101_38022_D01_S002
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Icod de los Vinos,"4,4",003,20220101_38022_D01_S003
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Icod de los Vinos,"4,5",006,20220101_38022_D01_S006
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Icod de los Vinos,5,001,20220101_38022_D01_S001
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Icod de los Vinos,"6,3",004,20220101_38022_D01_S004
2021,01,OTRAS_PRESTACIONES,Otras prestaciones, Ingenio,"10,8",002,20220101_35011_D01_S002
