año,MEDIDAS_CODE,MEDIDAS#es,TERRITORIO_CODE,distrito,seccion,municipio,OBS_VALUE
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38009_D01_S003,01,003, Breña Baja,47914
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38009_D01_S004,01,004, Breña Baja,41990
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38010_D01_S001,01,001, Buenavista del Norte,32951
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38010_D01_S002,01,002, Buenavista del Norte,23505
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38010_D01_S003,01,003, Buenavista del Norte,28946
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38010_D01_S004,01,004, Buenavista del Norte,28846
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S001,01,001, Candelaria,38638
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S002,01,002, Candelaria,43426
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S003,01,003, Candelaria,39758
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S004,01,004, Candelaria,32140
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S005,01,005, Candelaria,40070
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S006,01,006, Candelaria,35160
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S007,01,007, Candelaria,36867
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S008,01,008, Candelaria,34582
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S009,01,009, Candelaria,41997
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S010,01,010, Candelaria,32031
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S011,01,011, Candelaria,38822
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38011_D01_S012,01,012, Candelaria,38776
